Key,Item,MJIItemCategory,MJICropSeed,,method
0,Island Palm Leaf,Material,,1,gathering
1,Island Apple,Material,,11,gathering
2,Island Branch,Material,,2,gathering
3,Island Stone,Material,,3,gathering
4,Island Clam,Material,,4,gathering
5,Island Laver,Material,,5,gathering
6,Island Coral,Material,,6,gathering
7,Islewort,Material,,7,gathering
8,Island Sand,Material,,8,gathering
9,Island Log,Material,,12,gathering
10,Island Palm Log,Material,,13,gathering
11,Island Vine,Material,,9,gathering
12,Island Sap,Material,,10,gathering
13,Island Copper Ore,Material,,14,gathering
14,Island Limestone,Material,,15,gathering
15,Island Rock Salt,Material,,16,gathering
16,Island Sugarcane,Material,,19,gathering
17,Island Cotton Boll,Material,,20,gathering
18,Island Hemp,Material,,21,gathering
19,Island Clay,Material,,17,gathering
20,Island Tinsand,Material,,18,gathering
21,Island Iron Ore,Material,,25,gathering
22,Island Quartz,Material,,26,gathering
23,Island Leucogranite,Material,,27,gathering
24,Islefish,Material,,22,gathering
25,Island Squid,Material,,23,gathering
26,Island Jellyfish,Material,,24,gathering
27,Island Alyssum,Material,,100,granary
28,Raw Island Garnet,Material,,101,granary
29,Island Spruce Log,Material,,102,granary
30,Island Hammerhead,Material,,103,granary
31,Island Silver Ore,Material,,104,granary
32,Island Popoto Set,Gardening Starter,Island Popoto,120,gathering
33,Island Cabbage Seeds,Gardening Starter,Island Cabbage,121,gathering
34,Isleberry Seeds,Gardening Starter,Isleberry,122,farm_shop
35,Island Pumpkin Seeds,Gardening Starter,Island Pumpkin,123,gathering
36,Island Onion Set,Gardening Starter,Island Onion,124,farm_shop
37,Island Tomato Seeds,Gardening Starter,Island Tomato,125,farm_shop
38,Island Wheat Seeds,Gardening Starter,Island Wheat,126,farm_shop
39,Island Corn Seeds,Gardening Starter,Island Corn,127,farm_shop
40,Island Parsnip Seeds,Gardening Starter,Island Parsnip,128,gathering
41,Island Radish Seeds,Gardening Starter,Island Radish,129,farm_shop
42,Island Popoto,Produce,,150,farm
43,Island Cabbage,Produce,,151,farm
44,Isleberry,Produce,,152,farm
45,Island Pumpkin,Produce,,153,farm
46,Island Onion,Produce,,154,farm
47,Island Tomato,Produce,,155,farm
48,Island Wheat,Produce,,156,farm
49,Island Corn,Produce,,157,farm
50,Island Parsnip,Produce,,158,farm
51,Island Radish,Produce,,159,farm
52,Sanctuary Fleece,Leavings,,200,pasture
53,Sanctuary Claw,Leavings,,201,pasture
54,Sanctuary Fur,Leavings,,202,pasture
55,Sanctuary Feather,Leavings,,203,pasture
56,Sanctuary Egg,Leavings,,204,pasture
57,Sanctuary Carapace,Leavings,,205,pasture
58,Sanctuary Fang,Leavings,,206,pasture
59,Sanctuary Horn,Leavings,,207,pasture
60,Sanctuary Milk,Leavings,,208,pasture
61,Island Sweetfeed,Feed,,209,crafting
62,Island Greenfeed,Feed,,210,crafting
63,Premium Island Greenfeed,Feed,,211,crafting
64,Makeshift Net,Restraint,,212,crafting
65,Makeshift Restraint,Restraint,,213,crafting
66,Makeshift Soporific,Restraint,,214,crafting
67,Island Resin,Material,,29,gathering
68,Island Coconut,Material,,30,gathering
69,Island Beehive Chip,Material,,31,gathering
70,Island Wood Opal,Material,,32,gathering
71,Multicolored Isleblooms,Material,,28,gathering
72,Island Paprika Seeds,Gardening Starter,Island Paprika,130,farm_shop
73,Island Leek Set,Gardening Starter,Island Leek,131,farm_shop
74,Island Paprika,Produce,,160,farm
75,Island Leek,Produce,,161,farm
